index,command1,command2,command3,set_pose_flag
0,0,0,0
75,0,0,0
174,0,0,0
275,0,0,0
375,0,0,0
475,0,0,0
575,0,0,0
649,0,0,0
